Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.736,1.749,1.783,0.824,0.986,0.502,0.11,1.782
Denmark,Western Europe,2,7.521,1.825,1.748,0.82,0.955,0.488,0.15,1.535
Iceland,Western Europe,3,7.515,1.799,1.84,0.873,0.971,0.173,0.201,1.659
Sweden,Western Europe,4,7.345,1.783,1.698,0.889,0.952,0.467,0.17,1.385
Netherlands,Western Europe,5,7.306,1.822,1.667,0.844,0.86,0.344,0.186,1.583
Costa Rica,Latin America and Caribbean,6,7.274,1.492,1.6,0.68,0.948,0.118,0.067,2.369
Norway,Western Europe,7,7.262,1.902,1.711,0.863,0.962,0.425,0.168,1.231
Israel,Middle East and Northern Africa,8,7.234,1.695,1.743,0.824,0.74,0.193,0.144,1.895
Luxembourg,Western Europe,9,7.122,2.028,1.558,0.864,0.931,0.397,0.117,1.227
Mexico,Latin America and Caribbean,10,6.979,1.435,1.504,0.55,0.879,0.118,0.057,2.438
Australia,Australia and New Zealand,11,6.974,1.767,1.647,0.841,0.857,0.285,0.164,1.413
New Zealand,Australia and New Zealand,12,6.952,1.698,1.712,0.815,0.861,0.429,0.167,1.27
Switzerland,Western Europe,13,6.935,1.87,1.622,0.883,0.889,0.468,0.156,1.047
Belgium,Western Europe,14,6.91,1.783,1.646,0.852,0.895,0.306,0.119,1.309
Ireland,Western Europe,15,6.889,1.988,1.659,0.823,0.906,0.382,0.179,0.952
Lithuania,Central and Eastern Europe,16,6.829,1.684,1.699,0.592,0.702,0.123,0.031,1.998
Austria,Western Europe,17,6.81,1.791,1.592,0.814,0.856,0.28,0.179,1.297
Canada,North America,18,6.803,1.749,1.647,0.832,0.813,0.323,0.168,1.271
Slovenia,Central and Eastern Europe,19,6.792,1.692,1.718,0.802,0.961,0.113,0.121,1.384
Czech Republic,Central and Eastern Europe,20,6.775,1.692,1.716,0.658,0.916,0.084,0.118,1.591
United Arab Emirates,Middle East and Northern Africa,21,6.759,1.812,1.294,0.659,0.934,0.235,0.165,1.66
Germany,Western Europe,22,6.753,1.785,1.625,0.776,0.858,0.351,0.148,1.21
United Kingdom,Western Europe,23,6.728,1.725,1.562,0.779,0.872,0.318,0.211,1.26
United States,North America,24,6.724,1.839,1.614,0.604,0.644,0.161,0.171,1.69
Belize,Latin America and Caribbean,25,6.711,1.256,1.54,0.525,1.018,0.082,0.072,2.218
Poland,Central and Eastern Europe,26,6.673,1.666,1.595,0.63,0.79,0.169,0.021,1.802
Taiwan Province of China,Eastern Asia,27,6.669,1.73,1.583,0.817,0.76,0.187,0.057,1.534
Uruguay,Latin America and Caribbean,28,6.661,1.554,1.654,0.523,0.913,0.197,0.078,1.741
Kosovo,Central and Eastern Europe,29,6.659,1.281,1.454,0.896,0.893,0.087,0.201,1.847
Kuwait,Middle East and Northern Africa,30,6.629,1.691,1.481,0.766,0.934,0.167,0.143,1.448
Serbia,Central and Eastern Europe,31,6.606,1.489,1.62,0.545,0.767,0.107,0.131,1.946
Saudi Arabia,Middle East and Northern Africa,32,6.6,1.743,1.566,0.714,0.915,0.187,0.105,1.37
France,Western Europe,33,6.593,1.733,1.535,0.832,0.743,0.264,0.099,1.386
Singapore,Southeastern Asia,34,6.565,2.022,1.565,0.935,0.856,0.522,0.164,0.501
Romania,Central and Eastern Europe,35,6.563,1.636,1.401,0.561,0.847,0.015,0.028,2.075
Brazil,Latin America and Caribbean,36,6.494,1.391,1.519,0.48,0.83,0.127,0.089,2.057
El Salvador,Latin America and Caribbean,37,6.492,1.222,1.228,0.559,0.955,0.264,0.054,2.211
Spain,Western Europe,38,6.466,1.69,1.685,0.894,0.734,0.18,0.112,1.17
Estonia,Central and Eastern Europe,39,6.417,1.65,1.716,0.642,0.902,0.378,0.128,1.001
Italy,Western Europe,40,6.415,1.724,1.526,0.852,0.641,0.071,0.082,1.517
Panama,Latin America and Caribbean,41,6.407,1.594,1.6,0.717,0.876,0.042,0.041,1.537
Argentina,Latin America and Caribbean,42,6.397,1.504,1.622,0.579,0.824,0.083,0.048,1.736
Kazakhstan,Central and Eastern Europe,43,6.378,1.586,1.688,0.504,0.878,0.118,0.111,1.492
Guatemala,Latin America and Caribbean,44,6.362,1.249,1.33,0.376,0.882,0.085,0.075,2.365
Chile,Latin America and Caribbean,45,6.361,1.537,1.577,0.711,0.779,0.085,0.093,1.579
Vietnam,Southeastern Asia,46,6.352,1.278,1.533,0.631,1.012,0.174,0.039,1.684
Nicaragua,Latin America and Caribbean,47,6.33,1.084,1.47,0.646,0.912,0.271,0.103,1.844
Malta,Western Europe,48,6.316,1.76,1.671,0.837,0.837,0.115,0.217,0.879
Thailand,Southeastern Asia,49,6.222,1.426,1.551,0.633,0.927,0.039,0.223,1.423
Slovakia,Central and Eastern Europe,50,6.221,1.629,1.762,0.547,0.704,0.07,0.058,1.451
